;Train;type;i;j;dep;arr;arc_i;arc_j;arc_tr
0;FV8 B;FV;nAH;nAHAR;01:11:42;01:21:42;nAHAR;nAH;1
1;FV8 B;FV;nAHAR;nAMA;01:23:42;01:27:36;nAMA;nAHAR;1
2;FV8 B;FV;nAMA;nYASET;01:27:36;01:31:12;nYASET;nAMA;1
3;FV8 B;FV;nYASET;nHIHG;01:31:12;02:04:42;nHIHG;nYASET;1
4;FV8 B;FV;nHIHG;nHH;02:04:42;02:14:42;nHH;nHIHG;1
5;FV8 B;FV;nHH;nHIHG;05:46:42;05:56:42;nHIHG;nHH;1
6;FV8 B;FV;nHIHG;nYASET;05:56:42;06:30:12;nYASET;nHIHG;1
7;FV8 B;FV;nYASET;nAMA;06:30:12;06:33:48;nAMA;nYASET;1
8;FV8 B;FV;nAMA;nAHAR;06:33:48;06:37:42;nAHAR;nAMA;1
9;FV8 B;FV;nAHAR;nAH;06:39:42;06:49:42;nAH;nAHAR;1
